ID;FFECHA;Mora30;Mora60;MoraMax_UltimoSemestre;Experiencia;PersonasCargo;GastosFamiliares;GastoArriendo;TiempoActividad;OCUPACION;TIPCONTRATO;Edad;Estado_Civil;Genero;Ingresos;Nivel_Academico;Tipo_Vivienda;TiempoCliente;Tiempo_SistemaFro;PORCEND;Obligaciones_SistemaFro
963;201805;0;0;0;0;0;6160;0;2;EMPLEADO;OBRA, LABOR O MISIÓN;33;SOLTERO;FEMENINO;9194,029851;TECNÓLOGO;FAMILIAR;0;0;0,487012987;0
964;201708;0;0;28;0;1;6160;0;5;EMPLEADO;TÉRMINO INDEFINIDO;29;SOLTERO;FEMENINO;9194,029851;BACHILLER;FAMILIAR;19;0;0,974025974;0
965;201709;0;0;17;0;0;8000;0;1;EMPLEADO;TÉRMINO INDEFINIDO;32;SOLTERO;FEMENINO;11940,29851;UNIVERSITARIO;FAMILIAR;4;0;1;0
966;201708;0;0;0;0;0;6500;0;1;EMPLEADO;TÉRMINO INDEFINIDO;31;SOLTERO;FEMENINO;9701,492537;UNIVERSITARIO;FAMILIAR;1;0;1,076923077;0
967;201711;0;0;18;0;1;6907,45;0;2;EMPLEADO;OBRA, LABOR O MISIÓN;31;SOLTERO;FEMENINO;10309,62687;TECNÓLOGO;FAMILIAR;82;0;0,434313676;0
968;201708;0;0;0;1;0;6160;0;5;JUBILADOS/PENSIONADO;OTROS;60;CASADO;FEMENINO;9194,029851;BACHILLER;FAMILIAR;27;72;0,974025974;1
969;201711;1;1;90;1;0;8000;0;1;EMPLEADO;OBRA, LABOR O MISIÓN;33;SOLTERO;FEMENINO;11940,29851;UNIVERSITARIO;FAMILIAR;8;0;1;0
970;201704;0;0;0;1;0;7470;0;9;EMPLEADO;TÉRMINO FIJO;32;SOLTERO;FEMENINO;11149,25373;TECNÓLOGO;FAMILIAR;2;35;0,93708166;2
971;201707;0;0;0;0;0;6991,87;0;6;JUBILADOS/PENSIONADO;OTROS;66;DIVORCIADO;FEMENINO;10435,62687;OTROS;PROPIA;0;0;0,429069763;0
972;201807;0;0;0;0;0;6160;0;30;JUBILADOS/PENSIONADO;TÉRMINO INDEFINIDO;63;CASADO;FEMENINO;9194,029851;TECNÓLOGO;PROPIA;0;0;0,487012987;0
973;201703;0;0;17;0;0;6160;0;4;JUBILADOS/PENSIONADO;OTROS;61;DIVORCIADO;FEMENINO;9194,029851;TECNÓLOGO;FAMILIAR;31;0;0,974025974;0
974;201711;0;0;16;1;0;9600;0;7;JUBILADOS/PENSIONADO;TÉRMINO INDEFINIDO;62;OTROS;FEMENINO;14328,35821;ESPECIALIZACIÓN;PROPIA;12;176;1,041666667;0
975;201711;0;0;0;0;0;9000;0;20;EMPLEADO;TÉRMINO INDEFINIDO;61;DIVORCIADO;FEMENINO;13432,83582;BACHILLER;FAMILIAR;0;0;0,555555556;0
976;201802;0;0;0;1;0;6160;0;3;JUBILADOS/PENSIONADO;OTROS;60;CASADO;FEMENINO;9194,029851;BACHILLER;FAMILIAR;31;31;0,974025974;1
977;201701;0;0;15;0;0;9465;0;3;EMPLEADO;TÉRMINO INDEFINIDO;45;SOLTERO;FEMENINO;14126,86567;TECNÓLOGO;FAMILIAR;82;0;0,950871632;0
978;201710;0;0;18;1;1;6160;0;1;EMPLEADO;TÉRMINO INDEFINIDO;41;SOLTERO;FEMENINO;9194,029851;BACHILLER;FAMILIAR;3;9;0,974025974;1
979;201804;0;0;17;0;0;6160;0;5;EMPLEADO;TÉRMINO INDEFINIDO;41;SOLTERO;FEMENINO;9194,029851;UNIVERSITARIO;FAMILIAR;49;74;0,487012987;0
980;201708;0;0;30;0;0;6880;0;1;EMPLEADO;TÉRMINO INDEFINIDO;33;SOLTERO;FEMENINO;10268,65672;UNIVERSITARIO;FAMILIAR;35;0;1,017441861;0
